2021-09-12 15:26:16.064620 2591
2021-09-12 15:26:16.070609 2255
2021-09-12 15:26:16.077585 2089
2021-09-12 15:26:16.083569 1950
2021-09-12 15:26:16.089557 1935
2021-09-12 15:26:16.095537 1933
2021-09-12 15:26:16.102518 1897
2021-09-12 15:26:16.108502 1903
2021-09-12 15:26:16.114492 1883
2021-09-12 15:26:16.120493 1890
2021-09-12 15:26:16.127452 1917
2021-09-12 15:26:16.133435 1897
2021-09-12 15:26:16.139424 1925
2021-09-12 15:26:16.145404 1927
2021-09-12 15:26:16.152385 1888
2021-09-12 15:26:16.158369 1936
2021-09-12 15:26:16.164356 1939
2021-09-12 15:26:16.170337 1893
2021-09-12 15:26:16.177318 1904
2021-09-12 15:26:16.183022 1891
2021-09-12 15:26:16.189121 1926
2021-09-12 15:26:16.196097 1937
2021-09-12 15:26:16.202081 1914
2021-09-12 15:26:16.208066 1917
2021-09-12 15:26:16.215047 1895
2021-09-12 15:26:16.221031 1887
2021-09-12 15:26:16.227033 1903
2021-09-12 15:26:16.232999 1904
2021-09-12 15:26:16.239980 1905
2021-09-12 15:26:16.245969 1901
2021-09-12 15:26:16.251948 1882
2021-09-12 15:26:16.257938 1916
2021-09-12 15:26:16.264913 1889
2021-09-12 15:26:16.270898 1911
2021-09-12 15:26:16.276883 1917
2021-09-12 15:26:16.282865 1895
2021-09-12 15:26:16.289846 1919
2021-09-12 15:26:16.295836 1945
2021-09-12 15:26:16.301819 1940
2021-09-12 15:26:16.307803 1951
2021-09-12 15:26:16.314780 1987
2021-09-12 15:26:16.320764 1920
2021-09-12 15:26:16.326748 1904
2021-09-12 15:26:16.333730 1906
2021-09-12 15:26:16.339748 1923
2021-09-12 15:26:16.345697 1925
2021-09-12 15:26:16.352679 1897
2021-09-12 15:26:16.358673 1891
2021-09-12 15:26:16.364798 1904
2021-09-12 15:26:16.370635 1915
2021-09-12 15:26:16.377611 1917
2021-09-12 15:26:16.383596 1905
2021-09-12 15:26:16.389580 1912
2021-09-12 15:26:16.395565 1921
2021-09-12 15:26:16.401551 1900
